time,open,high,low,close,Volume,Volume MA
2016-06-05T00:00:00Z,576.31,585,570.22,575.17,4924,6938.5
2016-06-06T00:00:00Z,575.17,588.15,575,586.77,6746,6976
2016-06-07T00:00:00Z,586.75,590.95,497.01,579.71,9557,7180.35
2016-06-08T00:00:00Z,579.72,583.99,572.96,583.21,5605,7042.3
2016-06-09T00:00:00Z,583.19,583.48,574,577.46,4951,6932.35
2016-06-10T00:00:00Z,577.47,581,573.5,580.31,5619,7017.65
2016-06-11T00:00:00Z,580.31,610,580.31,609.5,5492,7106.25
2016-06-12T00:00:00Z,609.5,687.71,605,677.86,17948,7722.45
2016-06-13T00:00:00Z,677.45,720,663.55,706.01,15493,8172.7
2016-06-14T00:00:00Z,706.02,706.45,650.02,684.95,12420,8487.75
2016-06-15T00:00:00Z,684.99,699.3,673,698.78,7863,8589.65
2016-06-16T00:00:00Z,698.76,777.68,698.76,769.76,16798,8936.7
2016-06-17T00:00:00Z,769.71,778.5,709.01,752.26,13990,9033.75
2016-06-18T00:00:00Z,752,785.15,734.8,758.99,9577,9021.85
2016-06-19T00:00:00Z,759,771.92,744.77,768.76,5407,8996.15
2016-06-20T00:00:00Z,768.94,768.94,702.42,703.12,9715,9057.2
2016-06-21T00:00:00Z,706.47,718.26,628.6,667.66,26035,10074.95
2016-06-22T00:00:00Z,667.88,679.99,568.11,604.5,15570,10538.7
2016-06-23T00:00:00Z,606.13,637.89,544.13,631.1,20481,11054.35
2016-06-24T00:00:00Z,631.1,700,631.01,669.98,19061,11662.6
2016-06-25T00:00:00Z,669.98,699,650,673.71,7662,11799.5
2016-06-26T00:00:00Z,673.71,675.19,625.01,638.56,5637,11744.05
2016-06-27T00:00:00Z,638.56,659.98,630,657.87,6575,11594.95
2016-06-28T00:00:00Z,657.86,663.53,638,648.43,5658,11597.6
2016-06-29T00:00:00Z,648.43,648.43,630.02,639.42,6456,11672.85
2016-06-30T00:00:00Z,639.41,675,635.14,673.49,7734,11778.6
2016-07-01T00:00:00Z,673.5,688.99,667,678.19,6811,11844.55
2016-07-02T00:00:00Z,678.09,705.21,676.92,704.95,4926,11193.45
2016-07-03T00:00:00Z,705.25,705.25,651,663.55,6438,10740.7
